pc2 =;262144
number prime pairs:;2367
number mutually prime pairs:;131071

pc3 =;177147
number prime pairs:;3418
number mutually prime pairs:;59048

pc2 prime pairs:
i;difference;less prime;most prime
1;93;262051;262237
2;117;262027;262261
3;345;261799;262489
4;357;261787;262501
5;423;261721;262567
6;507;261637;262651
7;513;261631;262657
8;765;261379;262909
9;903;261241;263047
10;975;261169;263119
11;1083;261061;263227
12;1113;261031;263257
13;1467;260677;263611
14;1593;260551;263737
15;1617;260527;263761
16;1677;260467;263821
17;1683;260461;263827
18;1725;260419;263869
19;2343;259801;264487
20;2487;259657;264631
2367;262125;19;524269

pc2 mutually prime pairs:
i;difference;less;multipliers;most;multipliers
1;1;262143;3^3*7^1*19^1*73^1;262145;5^1*13^1*37^1*109^1
2;3;262141;11^1*23831^1;262147;262147^1
3;5;262139;262139^1;262149;3^1*87383^1
4;7;262137;3^1*59^1*1481^1;262151;262151^1
5;9;262135;5^1*103^1*509^1;262153;262153^1
6;11;262133;262133^1;262155;3^1*5^1*17477^1
7;13;262131;3^1*23^1*29^1*131^1;262157;7^1*17^1*2203^1
8;15;262129;7^1*37447^1;262159;317^1*827^1
9;17;262127;262127^1;262161;3^2*29129^1
10;19;262125;3^2*5^3*233^1;262163;11^1*23833^1
11;21;262123;17^2*907^1;262165;5^1*52433^1
12;23;262121;262121^1;262167;3^1*31^1*2819^1
13;25;262119;3^1*11^1*13^2*47^1;262169;409^1*641^1
14;27;262117;61^1*4297^1;262171;7^1*13^1*43^1*67^1
15;29;262115;5^1*7^1*7489^1;262173;3^1*281^1*311^1
16;31;262113;3^1*41^1*2131^1;262175;5^2*10487^1
17;33;262111;262111^1;262177;23^1*11399^1
18;35;262109;262109^1;262179;3^2*29131^1
19;37;262107;3^2*29123^1;262181;19^1*13799^1
20;39;262105;5^1*19^1*31^1*89^1;262183;239^1*1097^1
131071;262141;3;3^1;524285;5^1*23^1*47^1*97^1

i;number;multipliers
1;262139;262139^1
2;262141;11^1*23831^1
3;262143;3^3*7^1*19^1*73^1
4;262144;2^18
5;262145;5^1*13^1*37^1*109^1
6;262147;262147^1

pc3 prime pairs:
i;difference;less prime;most prime
1;20;177127;177167
2;136;177011;177283
3;340;176807;177487
4;406;176741;177553
5;596;176551;177743
6;616;176531;177763
7;640;176507;177787
8;644;176503;177791
9;650;176497;177797
10;746;176401;177893
11;820;176327;177967
12;920;176227;178067
13;946;176201;178093
14;956;176191;178103
15;994;176153;178141
16;1060;176087;178207
17;1084;176063;178231
18;1100;176047;178247
19;1154;175993;178301
20;1186;175961;178333
3418;177124;23;354271

pc3 mutually prime pairs:
i;difference;less;multipliers;most;multipliers
1;2;177145;5^1*71^1*499^1;177149;7^1*25307^1
2;4;177143;47^1*3769^1;177151;13^1*13627^1
3;8;177139;307^1*577^1;177155;5^1*11^1*3221^1
4;10;177137;19^1*9323^1;177157;17^2*613^1
5;14;177133;11^1*16103^1;177161;29^1*41^1*149^1
6;16;177131;177131^1;177163;7^1*25309^1
7;20;177127;177127^1;177167;177167^1
8;22;177125;5^3*13^1*109^1;177169;23^1*7703^1
9;26;177121;7^1*25303^1;177173;177173^1
10;28;177119;37^1*4787^1;177175;5^2*19^1*373^1
11;32;177115;5^1*35423^1;177179;53^1*3343^1
12;34;177113;177113^1;177181;163^1*1087^1
13;38;177109;177109^1;177185;5^1*35437^1
14;40;177107;7^1*25301^1;177187;167^1*1061^1
15;44;177103;29^1*31^1*197^1;177191;7^1*17^1*1489^1
16;46;177101;177101^1;177193;37^1*4789^1
17;50;177097;409^1*433^1;177197;79^1*2243^1
18;52;177095;5^1*35419^1;177199;11^1*89^1*181^1
19;56;177091;177091^1;177203;13^1*43^1*317^1
20;58;177089;11^1*17^1*947^1;177205;5^1*7^1*61^1*83^1
59048;177142;5;5^1;354289;13^1*27253^1

i;number;multipliers
1;177139;307^1*577^1
2;177143;47^1*3769^1
3;177145;5^1*71^1*499^1
4;177147;3^11
5;177149;7^1*25307^1
6;177151;13^1*13627^1
